customer_number,baskets,total_quantity,average_quantity,total_spend,average_spend
3622,450,540,1.2000000000000000,"£1,756.78",£3.90
67,807,1055,1.3073110285006196,"£1,584.18",£1.96
12055,592,793,1.3395270270270270,"£1,148.80",£1.94
81,408,525,1.2867647058823529,£729.04,£1.79
77,228,244,1.0701754385964912,£355.16,£1.56
71,809,970,1.1990111248454883,"£1,233.78",£1.53
68,204,219,1.0735294117647059,£225.41,£1.10
9491,599,717,1.1969949916527546,£994.18,£1.66
9501,745,808,1.0845637583892617,"£1,244.32",£1.67
85,293,324,1.1058020477815700,£600.74,£2.05
83,393,434,1.1043256997455471,£518.58,£1.32
5130,104,127,1.2211538461538462,£277.99,£2.67
9492,227,248,1.0925110132158590,£444.90,£1.96
3644,769,903,1.1742522756827048,"£1,416.86",£1.84
3633,89,117,1.3146067415730337,£141.15,£1.59
3641,623,714,1.1460674157303371,£644.57,£1.03
5137,548,644,1.1751824817518248,"£1,106.03",£2.02
6981,351,426,1.2136752136752137,£737.46,£2.10
14790,432,490,1.1342592592592593,£482.31,£1.12
3636,995,1196,1.2020100502512563,"£1,626.97",£1.64
14309,534,680,1.2734082397003745,£600.58,£1.12
110,227,246,1.0837004405286344,£177.29,£0.78
9487,282,310,1.0992907801418440,£439.04,£1.56
12075,92,126,1.3695652173913043,£140.42,£1.53
5146,189,226,1.1957671957671958,£576.71,£3.05
111,315,387,1.2285714285714286,£530.64,£1.68
9807,314,378,1.2038216560509554,£646.26,£2.06
6992,406,503,1.2389162561576355,£748.11,£1.84
12077,400,613,1.5325000000000000,£862.85,£2.16
108,258,329,1.2751937984496124,£554.54,£2.15
12076,248,261,1.0524193548387097,£394.91,£1.59
8660,772,1009,1.3069948186528497,"£1,367.53",£1.77
9499,441,456,1.0340136054421769,£818.21,£1.86
117,279,324,1.1612903225806452,£440.71,£1.58
14797,742,812,1.0943396226415094,"£1,208.66",£1.63
12084,224,263,1.1741071428571429,£357.22,£1.59
8662,892,1049,1.1760089686098655,"£1,471.81",£1.65
119,653,813,1.2450229709035222,£855.23,£1.31
15492,341,403,1.1818181818181818,£960.47,£2.82
3647,764,855,1.1191099476439791,"£1,214.24",£1.59
7005,1236,1516,1.2265372168284790,"£2,417.91",£1.96
8657,594,668,1.1245791245791246,£606.82,£1.02
14801,483,495,1.0248447204968944,£777.13,£1.61
12091,152,186,1.2236842105263158,£263.80,£1.74
123,666,724,1.0870870870870871,£599.29,£0.90
12097,743,929,1.2503364737550471,"£1,338.81",£1.80
136,533,626,1.1744840525328330,£729.55,£1.37
133,355,441,1.2422535211267606,£700.34,£1.97
14805,230,314,1.3652173913043478,£443.35,£1.93
124,500,544,1.0880000000000000,£566.97,£1.13
140,289,332,1.1487889273356401,£303.53,£1.05
6460,202,315,1.5594059405940594,£354.33,£1.75
7017,378,475,1.2566137566137566,£502.26,£1.33
7016,499,595,1.1923847695390782,£980.29,£1.96
12095,199,222,1.1155778894472362,£283.11,£1.42
3663,1092,1258,1.1520146520146520,"£1,483.30",£1.36
7010,437,495,1.1327231121281465,£588.30,£1.35
7019,269,310,1.1524163568773234,£318.25,£1.18
7013,380,500,1.3157894736842105,£703.37,£1.85
9502,763,919,1.2044560943643512,"£1,417.83",£1.86
12103,353,397,1.1246458923512748,£744.38,£2.11
3660,921,1222,1.3268186753528773,"£1,540.32",£1.67
149,115,150,1.3043478260869565,£164.66,£1.43
8678,1085,1321,1.2175115207373272,"£1,530.32",£1.41
14806,466,497,1.0665236051502146,£547.32,£1.17
15902,514,700,1.3618677042801556,£680.62,£1.32
9802,606,714,1.1782178217821782,"£1,747.23",£2.88
156,762,807,1.0590551181102362,£967.75,£1.27
153,453,527,1.1633554083885210,£745.69,£1.65
157,1080,1208,1.1185185185185185,"£1,857.65",£1.72
3671,94,112,1.1914893617021277,£144.81,£1.54
12110,333,379,1.1381381381381381,£501.81,£1.51
6461,1378,1571,1.1400580551523948,"£3,491.78",£2.53
305,76,108,1.4210526315789474,£233.44,£3.07
11430,1670,1878,1.1245508982035928,"£2,511.24",£1.50
7032,262,305,1.1641221374045802,£450.45,£1.72
166,212,236,1.1132075471698113,£267.96,£1.26
12114,247,282,1.1417004048582996,£330.44,£1.34
5169,405,530,1.3086419753086420,"£1,281.74",£3.16
5175,558,569,1.0197132616487455,£795.89,£1.43
11861,73,75,1.0273972602739726,£118.44,£1.62
182,486,551,1.1337448559670782,£389.09,£0.80
8677,440,533,1.2113636363636364,£988.89,£2.25
170,512,608,1.1875000000000000,£829.75,£1.62
3676,548,651,1.1879562043795620,£619.89,£1.13
9580,48,55,1.1458333333333333,£93.49,£1.95
12120,372,462,1.2419354838709677,£425.09,£1.14
176,128,141,1.1015625000000000,£202.67,£1.58
8668,510,637,1.2490196078431373,"£1,466.61",£2.88
186,913,965,1.0569550930996714,£569.31,£0.62
12128,216,261,1.2083333333333333,£317.95,£1.47
5170,311,361,1.1607717041800643,£353.34,£1.14
3679,221,232,1.0497737556561086,£331.96,£1.50
187,369,455,1.2330623306233062,£517.63,£1.40
9602,379,509,1.3430079155672823,£485.44,£1.28
7041,246,263,1.0691056910569106,£686.41,£2.79
15499,104,120,1.1538461538461538,£156.77,£1.51
11803,56,68,1.2142857142857143,£140.55,£2.51
7036,135,148,1.0962962962962963,£194.60,£1.44
8673,577,636,1.1022530329289428,£616.45,£1.07
12130,1012,1309,1.2934782608695652,"£1,603.14",£1.58
9814,568,633,1.1144366197183099,£708.56,£1.25
7044,646,671,1.0386996904024768,£621.44,£0.96
7046,431,467,1.0835266821345708,£644.09,£1.49
14819,103,125,1.2135922330097087,£137.27,£1.33
12135,329,458,1.3920972644376900,£512.57,£1.56
14817,315,382,1.2126984126984127,£470.43,£1.49
191,321,383,1.1931464174454829,£475.18,£1.48
15911,249,314,1.2610441767068273,£415.41,£1.67
8694,469,591,1.2601279317697228,£852.82,£1.82
9825,781,926,1.1856594110115237,"£1,394.82",£1.79
198,354,416,1.1751412429378531,£446.97,£1.26
3686,1149,1262,1.0983463881636205,"£2,224.27",£1.94
12139,611,752,1.2307692307692308,£725.94,£1.19
5185,827,1144,1.3833131801692866,£915.32,£1.11
201,562,634,1.1281138790035587,£666.04,£1.19
5189,1504,1843,1.2253989361702128,"£2,597.74",£1.73
15502,211,244,1.1563981042654028,£642.62,£3.05
212,420,477,1.1357142857142857,£419.77,£1.00
12137,182,216,1.1868131868131868,£288.76,£1.59
9622,30,35,1.1666666666666667,£66.41,£2.21
10896,530,594,1.1207547169811321,£871.27,£1.64
6462,644,724,1.1242236024844720,£832.19,£1.29
9511,738,828,1.1219512195121951,"£1,076.70",£1.46
12147,377,429,1.1379310344827586,£467.75,£1.24
5179,678,785,1.1578171091445428,£898.87,£1.33
206,909,1043,1.1474147414741474,"£1,075.19",£1.18
15503,484,515,1.0640495867768595,£686.23,£1.42
202,322,358,1.1118012422360248,£380.68,£1.18
221,437,472,1.0800915331807780,£572.35,£1.31
8689,1279,1458,1.1399530883502737,"£2,019.99",£1.58
12149,212,236,1.1132075471698113,£403.68,£1.90
218,599,675,1.1268781302170284,£695.33,£1.16
10880,551,629,1.1415607985480944,"£1,050.00",£1.91
215,220,333,1.5136363636363636,£401.93,£1.83
3685,494,584,1.1821862348178138,£843.36,£1.71
7053,232,290,1.2500000000000000,£485.10,£2.09
3690,420,484,1.1523809523809524,£516.62,£1.23
5198,306,360,1.1764705882352941,£704.13,£2.30
8688,556,701,1.2607913669064748,"£1,106.13",£1.99
12153,121,131,1.0826446280991736,£126.42,£1.04
244,765,1045,1.3660130718954248,"£1,338.67",£1.75
231,856,1059,1.2371495327102804,£961.42,£1.12
230,98,115,1.1734693877551020,£148.25,£1.51
232,744,992,1.3333333333333333,"£1,045.33",£1.41
8693,927,1382,1.4908306364617044,"£1,445.71",£1.56
12156,405,417,1.0296296296296296,£750.29,£1.85
12158,126,144,1.1428571428571429,£422.06,£3.35
236,397,492,1.2392947103274559,£650.07,£1.64
9643,45,45,1.00000000000000000000,£333.64,£7.41
7068,278,345,1.2410071942446043,£647.19,£2.33
256,535,608,1.1364485981308411,£804.60,£1.50
14326,579,699,1.2072538860103627,£637.94,£1.10
7077,148,194,1.3108108108108108,£384.55,£2.60
9516,456,505,1.1074561403508772,£437.71,£0.96
3695,427,459,1.0749414519906323,£529.70,£1.24
258,221,240,1.0859728506787330,£380.57,£1.72
8685,327,390,1.1926605504587156,£665.37,£2.03
3693,155,197,1.2709677419354839,£213.87,£1.38
12159,131,151,1.1526717557251908,£419.68,£3.20
257,508,621,1.2224409448818898,£634.38,£1.25
263,1161,1315,1.1326442721791559,"£1,411.27",£1.22
7063,242,270,1.1157024793388430,£329.40,£1.36
5204,483,561,1.1614906832298137,£693.23,£1.44
247,950,1018,1.0715789473684211,"£1,199.87",£1.26
276,425,506,1.1905882352941176,£667.79,£1.57
7067,882,1164,1.3197278911564626,"£2,001.06",£2.27
3701,766,908,1.1853785900783290,£975.57,£1.27
277,837,947,1.1314217443249701,"£1,014.82",£1.21
269,500,597,1.1940000000000000,£690.51,£1.38
8680,294,323,1.0986394557823129,£404.37,£1.38
5215,342,530,1.5497076023391813,"£1,082.74",£3.17
14825,253,338,1.3359683794466403,£825.22,£3.26
14329,254,279,1.0984251968503937,£563.62,£2.22
275,118,151,1.2796610169491525,£162.03,£1.37
281,1121,1261,1.1248884924174844,"£1,282.69",£1.14
280,201,215,1.0696517412935323,£344.85,£1.72
3702,805,1089,1.3527950310559006,"£1,231.02",£1.53
3711,556,652,1.1726618705035971,£859.19,£1.55
283,731,828,1.1326949384404925,"£1,080.41",£1.48
6465,328,505,1.5396341463414634,"£1,220.31",£3.72
7061,191,208,1.0890052356020942,£208.38,£1.09
14828,237,274,1.1561181434599156,£370.98,£1.57
9819,660,982,1.4878787878787879,"£1,208.01",£1.83
10840,534,668,1.2509363295880150,£755.64,£1.42
7074,677,728,1.0753323485967504,"£1,077.22",£1.59
7064,691,805,1.1649782923299566,£931.77,£1.35
12171,410,554,1.3512195121951220,£684.87,£1.67
12170,774,825,1.0658914728682171,£964.47,£1.25
11208,941,1061,1.1275239107332625,£790.45,£0.84
6470,480,534,1.1125000000000000,£579.03,£1.21
12182,400,438,1.0950000000000000,£406.72,£1.02
9526,551,667,1.2105263157894737,£780.80,£1.42
3715,936,1129,1.2061965811965812,"£1,558.89",£1.67
7093,287,375,1.3066202090592334,£645.40,£2.25
312,458,502,1.0960698689956332,£752.32,£1.64
12183,469,618,1.3176972281449893,£713.90,£1.52
308,296,356,1.2027027027027027,£533.12,£1.80
309,298,330,1.1073825503355705,£377.71,£1.27
3728,725,1010,1.3931034482758621,"£1,104.10",£1.52
14335,553,847,1.5316455696202532,£758.66,£1.37
7079,427,489,1.1451990632318501,£528.33,£1.24
15513,237,256,1.0801687763713080,£440.78,£1.86
7091,304,335,1.1019736842105263,£404.79,£1.33
12189,1013,1222,1.2063178677196446,"£1,536.30",£1.52
14834,257,307,1.1945525291828794,£371.17,£1.44
6468,337,499,1.4807121661721068,£450.52,£1.34
8701,148,174,1.1756756756756757,£256.46,£1.73
12188,525,557,1.0609523809523810,£677.80,£1.29
12195,140,179,1.2785714285714286,£650.72,£4.65
320,341,419,1.2287390029325513,£415.49,£1.22
12201,46,51,1.1086956521739130,£70.16,£1.53
324,150,183,1.2200000000000000,£200.37,£1.34
12198,49,59,1.2040816326530612,£68.60,£1.40
7094,326,354,1.0858895705521472,£448.42,£1.38
7083,438,585,1.3356164383561644,"£1,413.95",£3.23
12202,158,186,1.1772151898734177,£422.38,£2.67
6471,657,743,1.1308980213089802,£709.61,£1.08
15920,523,589,1.1261950286806883,£615.36,£1.18
3727,642,719,1.1199376947040498,£906.97,£1.41
342,345,423,1.2260869565217391,£461.50,£1.34
7104,651,777,1.1935483870967742,£896.16,£1.38
11868,50,55,1.1000000000000000,£66.92,£1.34
14837,319,377,1.1818181818181818,£697.34,£2.19
5233,624,805,1.2900641025641026,£898.23,£1.44
341,529,651,1.2306238185255198,£675.36,£1.28
3733,616,667,1.0827922077922078,"£1,312.99",£2.13
12212,397,449,1.1309823677581864,£474.61,£1.20
328,325,350,1.0769230769230769,£542.51,£1.67
5240,552,629,1.1394927536231884,£870.10,£1.58
10981,548,714,1.3029197080291971,£923.25,£1.68
3730,432,547,1.2662037037037037,£637.10,£1.47
5234,216,227,1.0509259259259259,£275.76,£1.28
12215,257,287,1.1167315175097276,£342.67,£1.33
12218,675,817,1.2103703703703704,£768.51,£1.14
352,357,435,1.2184873949579832,£505.68,£1.42
9847,407,453,1.1130221130221130,£472.47,£1.16
11323,962,1156,1.2016632016632017,"£1,301.16",£1.35
350,435,464,1.0666666666666667,£546.06,£1.26
11381,1705,2124,1.2457478005865103,"£2,602.11",£1.53
349,571,676,1.1838879159369527,£649.97,£1.14
12221,592,701,1.1841216216216216,"£1,196.73",£2.02
367,834,912,1.0935251798561151,£951.80,£1.14
359,475,535,1.1263157894736842,£780.02,£1.64
3741,169,207,1.2248520710059172,£268.74,£1.59
362,666,825,1.2387387387387387,£591.95,£0.89
368,548,604,1.1021897810218978,£736.22,£1.34
372,491,527,1.0733197556008147,£757.52,£1.54
5242,457,579,1.2669584245076586,£653.86,£1.43
11069,390,470,1.2051282051282051,£903.99,£2.32
7110,444,523,1.1779279279279279,£660.92,£1.49
14839,148,186,1.2567567567567568,£228.63,£1.54
12227,519,591,1.1387283236994220,£724.39,£1.40
3740,400,498,1.2450000000000000,£522.89,£1.31
356,237,273,1.1518987341772152,£236.48,£1.00
357,1582,1968,1.2439949431099874,"£1,996.51",£1.26
5256,1051,1252,1.1912464319695528,"£2,900.34",£2.76
9521,985,1011,1.0263959390862944,£928.79,£0.94
5246,486,492,1.0123456790123457,£743.88,£1.53
386,706,722,1.0226628895184136,£630.23,£0.89
385,754,845,1.1206896551724138,£894.20,£1.19
14343,113,138,1.2212389380530973,£180.36,£1.60
12234,69,100,1.4492753623188406,£90.61,£1.31
12230,922,1066,1.1561822125813449,"£1,636.50",£1.77
9868,569,826,1.4516695957820738,£897.66,£1.58
12237,336,353,1.0505952380952381,£346.04,£1.03
12245,135,157,1.1629629629629630,£207.67,£1.54
6483,330,402,1.2181818181818182,"£1,259.71",£3.82
7130,519,609,1.1734104046242775,£784.76,£1.51
9853,496,580,1.1693548387096774,£478.47,£0.96
3745,370,445,1.2027027027027027,£560.97,£1.52
398,144,170,1.1805555555555556,£499.53,£3.47
7131,521,584,1.1209213051823417,£633.75,£1.22
401,208,270,1.2980769230769231,£342.93,£1.65
395,312,345,1.1057692307692308,£435.98,£1.40
7126,261,297,1.1379310344827586,£358.97,£1.38
7124,375,402,1.0720000000000000,£529.04,£1.41
14846,421,475,1.1282660332541568,"£1,341.17",£3.19
9855,500,586,1.1720000000000000,£627.38,£1.25
7127,337,376,1.1157270029673591,£656.33,£1.95
409,325,357,1.0984615384615385,£514.00,£1.58
404,869,1089,1.2531645569620253,"£1,403.38",£1.61
9856,448,558,1.2455357142857143,£480.03,£1.07
5261,128,157,1.2265625000000000,£253.25,£1.98
8720,216,278,1.2870370370370370,£443.50,£2.05
8717,1234,1464,1.1863857374392220,"£1,776.72",£1.44
9527,343,423,1.2332361516034985,£697.08,£2.03
5264,162,180,1.1111111111111111,£447.37,£2.76
3759,154,202,1.3116883116883117,£338.20,£2.20
3756,998,1051,1.0531062124248497,£841.45,£0.84
9836,133,153,1.1503759398496241,£160.05,£1.20
419,479,527,1.1002087682672234,£713.32,£1.49
3763,474,724,1.5274261603375527,"£1,318.69",£2.78
12264,238,386,1.6218487394957983,£410.87,£1.73
7138,466,533,1.1437768240343348,£705.07,£1.51
412,201,285,1.4179104477611940,£346.35,£1.72
7135,203,232,1.1428571428571429,£314.91,£1.55
7132,26,35,1.3461538461538462,£71.43,£2.75
14351,129,217,1.6821705426356589,£530.47,£4.11
426,520,639,1.2288461538461538,£741.36,£1.43
12266,105,126,1.2000000000000000,£157.94,£1.50
427,355,400,1.1267605633802817,£932.52,£2.63
3760,54,70,1.2962962962962963,£65.31,£1.21
9863,273,373,1.3663003663003663,£367.10,£1.34
14848,392,417,1.0637755102040816,£646.88,£1.65
12269,684,758,1.1081871345029240,£896.70,£1.31
7141,371,449,1.2102425876010782,£501.63,£1.35
14353,754,834,1.1061007957559682,£651.69,£0.86
3781,447,504,1.1275167785234899,£456.02,£1.02
12271,690,854,1.2376811594202899,"£1,095.57",£1.59
5268,112,171,1.5267857142857143,£339.65,£3.03
12276,829,1169,1.4101326899879373,"£1,775.63",£2.14
433,415,481,1.1590361445783133,£608.27,£1.47
434,179,195,1.0893854748603352,£164.30,£0.92
12277,410,466,1.1365853658536585,£627.75,£1.53
9879,714,899,1.2591036414565826,"£1,505.99",£2.11
3780,331,512,1.5468277945619335,£753.11,£2.28
10928,267,308,1.1535580524344569,£347.77,£1.30
11473,233,284,1.2188841201716738,£376.20,£1.61
8719,1115,1291,1.1578475336322870,"£1,177.63",£1.06
447,173,214,1.2369942196531792,£277.60,£1.60
10967,928,1049,1.1303879310344828,"£1,404.14",£1.51
7148,610,704,1.1540983606557377,£767.90,£1.26
7145,301,335,1.1129568106312292,£339.21,£1.13
445,587,783,1.3339011925042589,"£1,700.09",£2.90
11633,346,418,1.2080924855491329,£592.76,£1.71
10901,204,226,1.1078431372549020,£209.74,£1.03
459,268,301,1.1231343283582090,£357.73,£1.33
9886,668,742,1.1107784431137725,£793.39,£1.19
12286,157,171,1.0891719745222930,£414.43,£2.64
9948,508,527,1.0374015748031496,£597.99,£1.18
11002,267,296,1.1086142322097378,£413.34,£1.55
7146,326,372,1.1411042944785276,£479.83,£1.47
7150,248,281,1.1330645161290323,£265.39,£1.07
474,236,328,1.3898305084745763,£403.05,£1.71
15527,321,357,1.1121495327102804,£561.05,£1.75
475,630,771,1.2238095238095238,£791.57,£1.26
7158,547,702,1.2833638025594150,£871.57,£1.59
8733,840,946,1.1261904761904762,"£1,034.17",£1.23
3789,723,781,1.0802213001383126,£706.33,£0.98
7161,176,217,1.2329545454545455,£252.06,£1.43
15933,905,930,1.0276243093922652,£590.10,£0.65
15932,282,379,1.3439716312056738,£445.09,£1.58
5275,221,254,1.1493212669683258,£402.92,£1.82
9902,644,783,1.2158385093167702,£781.74,£1.21
9903,648,797,1.2299382716049383,"£1,025.47",£1.58
9904,691,778,1.1259044862518090,£767.41,£1.11
11657,739,894,1.2097428958051421,£755.43,£1.02
14361,508,606,1.1929133858267717,£700.84,£1.38
496,389,429,1.1028277634961440,£468.80,£1.21
3798,582,691,1.1872852233676976,£580.71,£1.00
498,603,745,1.2354892205638474,£944.52,£1.57
15934,664,723,1.0888554216867470,"£2,649.05",£3.99
11520,385,494,1.2831168831168831,£752.37,£1.95
7175,413,491,1.1888619854721550,£632.00,£1.53
11878,96,129,1.3437500000000000,£347.77,£3.62
7172,226,266,1.1769911504424779,£225.77,£1.00
12310,380,459,1.2078947368421053,£515.20,£1.36
5284,803,964,1.2004981320049813,"£1,489.72",£1.86
8735,481,597,1.2411642411642412,£628.21,£1.31
515,70,94,1.3428571428571429,£131.43,£1.88
5296,220,253,1.1500000000000000,£641.00,£2.91
507,196,232,1.1836734693877551,£261.71,£1.34
510,380,472,1.2421052631578947,£432.24,£1.14
5290,532,671,1.2612781954887218,£697.30,£1.31
9918,656,752,1.1463414634146341,"£1,555.32",£2.37
11808,98,158,1.6122448979591837,£94.19,£0.96
8738,653,847,1.2970903522205207,"£1,743.63",£2.67
14866,303,337,1.1122112211221122,£463.64,£1.53
521,435,505,1.1609195402298851,£534.81,£1.23
523,252,296,1.1746031746031746,£377.89,£1.50
8746,232,296,1.2758620689655172,£465.25,£2.01
535,826,948,1.1476997578692494,£929.65,£1.13
6497,2053,2825,1.3760350706283488,"£2,195.36",£1.07
14871,70,77,1.1000000000000000,£111.76,£1.60
538,368,478,1.2989130434782609,£451.55,£1.23
14872,141,193,1.3687943262411348,£245.51,£1.74
3817,730,866,1.1863013698630137,"£1,435.13",£1.97
3818,294,379,1.2891156462585034,£310.46,£1.06
8754,255,299,1.1725490196078431,£319.39,£1.25
14870,363,392,1.0798898071625344,£477.80,£1.32
12323,385,413,1.0727272727272727,£666.31,£1.73
15939,361,410,1.1357340720221607,£453.30,£1.26
540,723,744,1.0290456431535270,£456.41,£0.63
8756,393,440,1.1195928753180662,£587.50,£1.49
12331,240,329,1.3708333333333333,£618.93,£2.58
541,123,152,1.2357723577235772,£161.56,£1.31
12329,587,698,1.1890971039182283,"£1,035.00",£1.76
542,271,294,1.0848708487084871,£457.94,£1.69
7191,743,913,1.2288021534320323,"£1,391.98",£1.87
550,222,324,1.4594594594594595,£393.49,£1.77
3819,357,465,1.3025210084033613,£706.94,£1.98
7199,831,907,1.0914560770156438,"£1,332.88",£1.60
15942,199,285,1.4321608040201005,£512.56,£2.58
12338,351,448,1.2763532763532764,£534.17,£1.52
3820,284,329,1.1584507042253521,£561.36,£1.98
12344,413,617,1.4939467312348668,£725.77,£1.76
12339,320,407,1.2718750000000000,£445.25,£1.39
571,250,282,1.1280000000000000,£321.23,£1.28
12345,97,112,1.1546391752577320,£115.10,£1.19
8759,418,464,1.1100478468899522,£804.20,£1.92
12346,463,632,1.3650107991360691,£997.04,£2.15
559,434,584,1.3456221198156682,£676.30,£1.56
562,481,507,1.0540540540540541,£523.35,£1.09
5310,253,369,1.4584980237154150,£574.65,£2.27
579,385,589,1.5298701298701299,£999.35,£2.60
6506,398,426,1.0703517587939698,£705.97,£1.77
14375,113,128,1.1327433628318584,£145.00,£1.28
584,625,690,1.1040000000000000,£869.18,£1.39
9927,871,979,1.1239954075774971,"£1,269.06",£1.46
11347,337,412,1.2225519287833828,£540.97,£1.61
588,578,688,1.1903114186851211,£906.05,£1.57
589,868,1274,1.4677419354838710,"£1,731.58",£1.99
7210,1522,1957,1.2858081471747700,"£2,143.50",£1.41
12356,45,65,1.4444444444444444,£87.00,£1.93
15943,527,568,1.0777988614800759,£627.75,£1.19
9941,563,745,1.3232682060390764,"£1,430.57",£2.54
12357,1167,1525,1.3067694944301628,"£1,583.09",£1.36
7219,906,1068,1.1788079470198675,"£1,019.98",£1.13
5320,381,430,1.1286089238845144,"£1,518.49",£3.99
3830,941,1036,1.1009564293304995,"£1,505.89",£1.60
12361,238,261,1.0966386554621849,£339.21,£1.43
15945,447,531,1.1879194630872483,£586.29,£1.31
5321,470,520,1.1063829787234043,£891.50,£1.90
12360,319,417,1.3072100313479624,£429.56,£1.35
594,950,1168,1.2294736842105263,"£1,258.26",£1.32
8778,786,924,1.1755725190839695,"£1,020.85",£1.30
14377,320,345,1.0781250000000000,£320.44,£1.00
12363,185,201,1.0864864864864865,£269.00,£1.45
3839,735,791,1.0761904761904762,£955.50,£1.30
11104,622,825,1.3263665594855305,"£1,423.26",£2.29
3844,415,569,1.3710843373493976,£693.94,£1.67
611,504,548,1.0873015873015873,£559.13,£1.11
11346,2529,2873,1.1360221431395809,"£3,200.49",£1.27
616,484,559,1.1549586776859504,£660.92,£1.37
12372,585,664,1.1350427350427350,£696.42,£1.19
5319,395,478,1.2101265822784810,£725.89,£1.84
15541,185,248,1.3405405405405405,£501.51,£2.71
14881,289,319,1.1038062283737024,£320.11,£1.11
618,465,559,1.2021505376344086,£755.35,£1.62
14880,529,654,1.2362948960302457,£691.53,£1.31
12379,407,539,1.3243243243243243,£609.36,£1.50
3838,255,302,1.1843137254901961,£467.16,£1.83
5328,750,873,1.1640000000000000,"£1,580.06",£2.11
5332,391,463,1.1841432225063939,£955.93,£2.44
14381,736,839,1.1399456521739130,£622.77,£0.85
620,281,309,1.0996441281138790,£540.35,£1.92
14885,40,52,1.3000000000000000,£93.10,£2.33
12394,228,265,1.1622807017543860,£338.46,£1.48
3843,461,530,1.1496746203904555,£708.80,£1.54
12393,671,806,1.2011922503725782,£959.59,£1.43
3848,639,696,1.0892018779342723,"£1,510.16",£2.36
12391,254,302,1.1889763779527559,£504.16,£1.98
5330,83,87,1.0481927710843373,£140.94,£1.70
11885,448,485,1.0825892857142857,£883.65,£1.97
11057,177,267,1.5084745762711864,£608.72,£3.44
