customer_number,fruit_veg,dairy,confectionary,grocery_food,grocery_health_pets,bakery,newspapers_magazines,prepared_meals,soft_drinks,frozen,meat,tobacco,drinks,deli,world_foods,lottery,cashpoint,seasonal_gifting,discount_bakery,practical_items
13908,£210.42,£168.84,£57.47,£89.24,£40.89,£0.00,£0.00,£51.17,£17.72,£27.25,£153.77,£0.00,£79.46,£3.13,£1.19,£0.00,£0.00,£0.00,£0.00,£0.00
15458,£2.05,£2.49,£10.46,£1.94,£2.55,£0.00,£0.40,£0.59,£0.00,£1.88,£0.00,£0.00,£0.00,£0.83,£3.97,£0.00,£0.00,£1.99,£0.00,£0.00
15932,£24.72,£23.43,£80.13,£2.04,£128.20,£0.00,£16.01,£1.61,£18.66,£3.53,£0.00,£87.34,£0.00,£0.00,£0.79,£0.00,£10.00,£35.19,£0.00,£0.00
10931,£62.84,£77.20,£62.59,£110.94,£51.46,£0.00,£13.62,£35.94,£9.74,£57.15,£25.43,£4.17,£10.29,£4.59,£2.33,£0.00,£0.00,£2.62,£0.00,£0.84
3497,£21.24,£40.71,£51.99,£59.98,£52.66,£0.00,£9.72,£19.24,£15.18,£21.34,£44.49,£0.00,£2.55,£0.00,£3.68,£1.00,£291.00,£0.00,£0.00,£0.00
12855,£129.31,£127.46,£88.70,£75.04,£46.54,£0.00,£0.00,£0.00,£95.72,£38.58,£89.14,£0.00,£25.28,£66.57,£14.71,£0.00,£0.00,£2.55,£0.00,£0.00
12618,£32.98,£31.54,£25.76,£33.61,£17.90,£0.00,£0.00,£90.16,£0.00,£0.00,£26.58,£504.12,£0.00,£0.00,£18.49,£0.00,£0.00,£35.72,£0.00,£0.00
12156,£33.41,£5.77,£13.57,£57.57,£10.66,£0.00,£0.00,£18.81,£14.14,£0.00,£0.00,£536.90,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00
3663,£122.80,£238.48,£79.68,£142.21,£237.77,£0.00,£53.28,£88.82,£24.90,£62.06,£58.93,£301.40,£0.00,£1.90,£11.78,£0.00,£0.00,£0.84,£0.00,£11.05
2937,£39.39,£52.10,£49.11,£23.35,£23.06,£0.00,£1.80,£10.42,£5.36,£9.20,£7.66,£0.00,£53.20,£0.00,£2.29,£4.00,£0.00,£1.15,£0.00,£0.00
5596,£37.14,£93.14,£91.07,£46.21,£54.38,£0.00,£22.50,£87.71,£89.90,£102.38,£53.16,£117.36,£435.64,£0.00,£3.21,£5.00,£40.00,£9.07,£0.00,£0.00
3647,£101.58,£72.19,£80.80,£56.62,£59.33,£0.00,£31.15,£20.46,£2.00,£41.83,£36.78,£565.85,£0.00,£34.38,£37.63,£0.00,£0.00,£0.00,£0.00,£0.00
10901,£42.10,£28.54,£13.08,£13.06,£15.24,£0.00,£17.32,£16.15,£4.07,£6.33,£3.18,£4.18,£2.85,£0.00,£16.41,£0.00,£0.00,£3.78,£10.43,£0.00
11174,£122.22,£141.77,£59.31,£143.72,£138.18,£0.00,£11.61,£99.32,£14.27,£117.09,£182.65,£3.54,£105.59,£0.39,£8.03,£0.00,£108.00,£9.99,£0.00,£1.10
8972,£156.98,£125.21,£19.47,£175.49,£109.18,£0.00,£50.84,£15.50,£31.75,£50.96,£228.10,£677.81,£298.75,£27.83,£15.62,£72.80,£0.00,£16.02,£0.00,£11.89
10981,£115.14,£117.80,£81.49,£114.61,£68.63,£0.00,£11.33,£21.62,£89.33,£78.48,£65.10,£8.16,£32.72,£11.59,£27.99,£2.00,£10.00,£6.65,£0.00,£12.98
8563,£74.34,£33.65,£39.33,£36.47,£47.35,£0.00,£1.95,£25.65,£9.78,£46.97,£163.19,£167.50,£424.02,£6.20,£1.27,£0.00,£0.00,£0.00,£0.00,£1.95
1464,£39.65,£81.62,£59.03,£48.84,£35.31,£0.00,£1.48,£60.86,£31.12,£42.12,£21.95,£0.00,£26.39,£7.39,£8.07,£1.00,£10.00,£16.21,£0.00,£0.00
12611,£101.47,£90.34,£9.25,£90.38,£43.43,£0.00,£0.00,£8.00,£50.62,£17.51,£36.95,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00
5470,£97.20,£139.36,£77.27,£43.51,£16.36,£0.00,£34.66,£43.56,£27.59,£37.19,£66.60,£40.17,£14.87,£0.00,£5.07,£247.50,£285.00,£4.22,£0.00,£0.00
3331,£134.22,£78.29,£139.75,£200.43,£217.37,£0.00,£9.45,£18.23,£5.76,£167.58,£208.86,£0.00,£0.00,£0.00,£1.98,£0.00,£0.00,£6.41,£0.00,£0.00
6462,£82.30,£75.47,£82.49,£53.78,£60.46,£0.00,£12.96,£40.34,£29.56,£52.77,£28.46,£117.33,£4.41,£18.50,£0.00,£0.00,£76.00,£1.65,£0.00,£0.00
3070,£77.28,£56.82,£6.00,£25.75,£25.87,£0.00,£7.20,£22.58,£78.59,£7.25,£17.02,£80.17,£7.64,£44.29,£2.09,£7.00,£70.00,£0.84,£0.00,£0.00
5377,£27.55,£82.55,£86.62,£47.07,£102.58,£0.00,£44.44,£9.41,£38.97,£98.28,£110.33,£724.12,£3.40,£0.00,£3.15,£144.00,£2.00,£5.06,£0.00,£0.00
15022,£29.78,£7.28,£1.06,£119.09,£26.67,£0.00,£0.35,£21.68,£0.00,£5.20,£26.55,£0.00,£0.00,£0.00,£1.49,£0.00,"£2,137.01",£0.00,£0.00,£0.00
712,£3.13,£17.54,£26.28,£8.25,£14.39,£0.00,£2.50,£26.76,£25.03,£13.00,£11.50,£0.00,£12.57,£0.00,£8.21,£0.00,£0.00,£13.03,£0.00,£0.00
2499,£98.92,£53.34,£24.16,£21.60,£55.03,£0.00,£3.20,£27.97,£11.33,£13.61,£16.71,£0.00,£95.65,£0.00,£0.00,£0.00,£0.00,£4.98,£1.49,£0.00
4857,£37.71,£76.06,£20.23,£40.18,£25.54,£0.00,£57.69,£20.46,£2.20,£33.97,£50.87,£185.08,£0.00,£1.08,£1.49,£27.00,£343.00,£5.33,£0.00,£0.00
1419,£20.61,£35.56,£63.43,£28.58,£23.57,£0.00,£12.21,£6.56,£6.78,£33.92,£48.50,£0.00,£0.00,£0.00,£2.24,£1.00,£0.00,£12.04,£0.00,£0.00
6162,£100.66,£50.02,£16.66,£75.98,£168.55,£0.00,£4.15,£35.89,£13.40,£41.16,£165.27,£12.71,£100.64,£0.00,£2.98,£0.00,£0.00,£1.27,£0.00,£3.40
12412,£51.92,£84.28,£68.40,£54.16,£60.83,£0.00,£0.00,£26.19,£11.95,£22.00,£41.17,£3.61,£9.07,£14.94,£2.37,£17.00,£0.00,£3.40,£0.00,£7.76
4730,£9.71,£7.05,£16.67,£9.30,£7.44,£0.00,£0.35,£5.33,£9.10,£11.55,£4.99,£216.76,£0.00,£1.44,£3.12,£92.00,£0.00,£0.00,£0.00,£0.00
10908,£346.90,£384.46,£440.43,£242.10,£531.16,£0.00,£48.57,£372.36,£138.60,£236.79,£339.43,£11.87,£0.00,£316.19,£101.34,£51.00,£60.00,£63.47,£0.00,£6.99
10421,£88.79,£140.73,£37.07,£64.20,£71.43,£0.00,£0.75,£20.54,£117.88,£16.11,£125.59,£751.15,£808.32,£34.01,£1.19,£78.00,£365.00,£3.40,£0.00,£0.00
11476,£127.20,£84.31,£141.72,£83.57,£82.98,£0.00,£61.79,£35.39,£7.92,£57.77,£154.75,£151.47,£174.56,£49.07,£2.73,£64.00,£60.00,£15.00,£85.42,£3.64
13694,£58.12,£59.03,£96.82,£47.68,£31.77,£0.00,£0.00,£0.00,£0.00,£1.29,£18.24,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00
7782,£109.49,£54.46,£20.33,£69.57,£67.89,£0.00,£19.55,£28.80,£4.46,£39.16,£95.74,£0.00,£0.00,£6.93,£15.26,£0.00,£130.00,£4.44,£0.00,£0.00
12128,£26.02,£17.66,£55.53,£22.74,£10.00,£0.00,£0.00,£16.14,£22.98,£27.66,£56.76,£0.00,£27.20,£0.00,£8.10,£2.00,£0.00,£2.53,£0.00,£0.00
6081,£103.82,£118.68,£29.26,£51.75,£64.81,£0.00,£22.26,£51.19,£28.89,£62.21,£99.88,£227.59,£195.90,£0.00,£7.22,£0.00,£15.50,£0.00,£0.00,£4.92
3605,£53.81,£83.74,£53.73,£46.52,£8.66,£0.00,£37.14,£107.05,£12.72,£22.87,£94.84,£323.07,£17.12,£1.80,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00
1149,£78.70,£264.60,£127.69,£154.27,£160.00,£0.00,£11.84,£36.47,£17.92,£85.05,£24.96,£0.00,£27.64,£148.26,£0.76,£0.00,£60.00,£0.00,£0.00,£0.00
8668,£102.19,£149.53,£43.87,£60.89,£24.33,£0.00,£10.18,£24.76,£40.40,£36.37,£60.97,£347.35,£525.36,£9.85,£14.04,£1.50,£0.00,£3.38,£0.00,£0.00
6070,£76.18,£77.12,£63.49,£70.26,£90.77,£0.00,£53.35,£42.24,£3.99,£2.20,£43.50,£4.96,£54.50,£0.00,£9.18,£27.50,£35.00,£5.44,£0.00,£0.00
7307,£93.85,£186.22,£302.07,£82.62,£104.29,£0.00,£24.05,£10.02,£29.12,£93.04,£15.61,£0.00,£0.00,£3.47,£0.99,£0.00,£0.00,£6.09,£0.00,£0.84
14612,£27.52,£9.18,£123.95,£12.87,£23.43,£0.00,£9.03,£0.00,£69.06,£10.92,£0.00,£798.73,£0.00,£12.10,£4.76,£3.00,£635.00,£0.00,£0.00,£4.24
2232,£167.00,£34.70,£80.78,£63.60,£106.84,£0.00,£14.28,£31.87,£104.76,£38.88,£90.45,£0.00,£56.34,£9.20,£8.59,£20.00,£210.00,£65.12,£0.00,£27.14
12569,£91.38,£111.00,£97.65,£93.12,£105.72,£0.00,£0.00,£77.19,£22.62,£35.58,£100.69,£567.06,£4.26,£1.10,£10.28,£35.00,£20.00,£2.62,£0.00,£2.12
12276,£215.73,£353.51,£50.20,£96.59,£44.47,£0.00,£0.00,£50.79,£53.68,£18.21,£112.13,£33.29,£361.54,£0.00,£8.28,£30.00,£140.00,£5.95,£0.00,£0.84
5080,£134.04,£104.41,£31.15,£67.86,£85.70,£0.00,£10.88,£46.10,£9.69,£45.89,£191.40,£31.66,£0.00,£47.69,£0.00,£0.00,£0.00,£0.00,£27.30,£0.00
445,£67.24,£79.10,£142.23,£163.70,£42.93,£0.00,£65.20,£70.97,£0.72,£81.61,£49.11,£0.00,£837.26,£0.00,£0.00,£0.00,£0.00,£11.97,£35.50,£0.00
9057,£67.08,£41.45,£44.98,£64.36,£35.04,£0.00,£5.82,£35.66,£11.24,£11.91,£52.29,£433.21,£16.84,£73.58,£6.13,£48.00,£0.00,£20.24,£60.26,£0.00
9339,£127.83,£99.22,£63.12,£103.09,£507.59,£0.00,£15.35,£184.63,£43.04,£118.99,£121.91,£709.73,£258.55,£4.49,£0.99,£16.00,£0.00,£0.00,£14.94,£0.00
11315,£105.99,£91.29,£50.58,£129.37,£43.64,£0.00,£18.74,£34.88,£9.11,£18.00,£64.03,£0.00,£70.40,£0.00,£8.19,£0.00,£0.00,£21.25,£0.00,£2.97
13412,£137.40,£15.52,£102.82,£109.67,£13.01,£0.00,£0.00,£234.63,£0.00,£103.23,£0.00,£0.00,£215.80,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00
206,£221.81,£46.39,£58.47,£79.96,£27.05,£0.00,£2.56,£66.65,£128.21,£64.90,£159.84,£0.00,£11.99,£157.40,£5.58,£0.00,£0.00,£10.52,£0.00,£0.00
11770,£13.77,£3.74,£0.00,£2.41,£4.07,£0.00,£1.10,£7.40,£13.41,£1.39,£4.50,£11.41,£83.82,£0.00,£0.00,£0.00,£95.00,£0.00,£1.59,£0.00
3570,£168.71,£76.56,£113.23,£213.84,£270.95,£0.00,£25.73,£39.15,£59.27,£73.18,£150.61,£0.00,£9.35,£48.98,£29.90,£3.00,£40.00,£8.96,£0.00,£2.45
2514,£48.00,£98.14,£114.46,£56.74,£81.59,£0.00,£5.04,£63.94,£23.77,£26.24,£42.11,£0.00,£28.91,£0.00,£4.46,£0.00,£10.00,£4.58,£0.00,£0.00
1654,£55.08,£59.25,£42.82,£26.37,£26.22,£0.00,£6.10,£69.29,£33.00,£33.25,£15.26,£0.00,£6.80,£8.09,£3.27,£3.00,£0.00,£0.00,£0.00,£0.00
4865,£64.71,£12.48,£33.14,£18.15,£50.96,£0.00,£2.70,£16.85,£6.18,£20.13,£25.65,£68.76,£0.00,£14.15,£10.01,£0.00,£0.00,£15.53,£0.00,£4.49
5261,£30.58,£21.08,£10.22,£3.14,£14.31,£0.00,£2.98,£30.06,£13.79,£9.93,£34.47,£52.72,£16.23,£0.00,£1.49,£0.00,£0.00,£1.49,£0.00,£0.00
11771,£18.10,£27.41,£0.00,£9.18,£8.31,£0.00,£11.08,£12.58,£34.83,£4.50,£336.14,£0.00,£176.74,£9.87,£28.75,£3.00,£0.00,£0.00,£2.48,£0.00
921,£120.93,£96.53,£203.57,£149.38,£81.99,£0.00,£21.04,£10.79,£137.96,£103.75,£21.84,£0.00,£271.33,£0.00,£12.98,£1.00,£10.00,£33.97,£0.00,£0.00
13975,£99.33,£82.24,£29.51,£46.34,£82.67,£0.00,£0.00,£52.12,£0.88,£35.44,£113.18,£0.00,£0.00,£0.00,£10.83,£0.00,£0.00,£0.00,£0.00,£1.27
10805,£52.53,£52.93,£45.87,£89.92,£10.13,£0.00,£0.55,£51.32,£5.72,£2.48,£2.59,£11.36,£2.80,£0.00,£9.58,£0.00,£0.00,£1.69,£0.00,£0.00
12159,£17.10,£18.72,£5.01,£5.77,£18.85,£0.00,£0.00,£6.69,£23.32,£11.94,£27.25,£0.00,£280.53,£0.38,£1.10,£0.00,£0.00,£0.00,£0.00,£0.00
8717,£200.51,£137.71,£155.49,£132.47,£150.82,£0.00,£1.79,£116.87,£106.99,£164.92,£181.97,£303.00,£9.04,£7.20,£8.96,£3.50,£0.00,£26.70,£0.00,£0.00
13367,£31.33,£93.83,£32.04,£32.24,£143.96,£0.00,£0.00,£2.43,£5.08,£13.27,£11.50,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.84
12508,£49.45,£38.58,£8.44,£37.17,£8.35,£0.00,£0.00,£11.48,£3.01,£0.00,£44.75,£0.00,£0.00,£33.66,£0.78,£0.00,£75.64,£0.00,£0.00,£0.00
7729,£94.69,£106.06,£181.71,£203.46,£321.36,£0.00,£8.54,£87.62,£25.74,£72.36,£45.73,£0.00,£32.90,£25.41,£20.34,£0.00,£0.00,£27.71,£0.00,£0.00
15966,£24.65,£14.64,£11.22,£4.81,£3.99,£0.00,£351.73,£0.99,£1.01,£4.06,£0.00,£0.00,£0.00,£1.30,£0.89,£13.00,£0.00,£1.70,£0.00,£0.00
8464,£152.36,£244.70,£256.07,£246.11,£165.32,£0.00,£0.85,£152.88,£99.99,£267.46,£163.94,£216.69,£304.09,£6.98,£15.02,£0.00,£0.00,£16.29,£0.00,£3.40
11596,£55.57,£44.56,£81.50,£35.79,£65.15,£0.00,£7.91,£2.58,£15.86,£81.42,£9.77,£0.00,£21.68,£14.69,£20.83,£0.00,£0.00,£28.94,£0.00,£1.92
4880,£132.78,£78.76,£212.13,£54.22,£33.80,£0.00,£6.70,£104.62,£13.74,£58.35,£19.12,£267.23,£0.00,£0.00,£17.97,£0.00,£231.05,£4.38,£0.00,£0.00
7830,£39.03,£37.17,£17.94,£54.61,£172.82,£0.00,£10.19,£4.55,£3.17,£5.48,£13.23,£0.00,£0.00,£15.35,£1.27,£0.00,£133.00,£3.90,£0.00,£0.00
14995,£26.54,£78.56,£34.63,£40.61,£7.96,£0.00,£30.11,£113.32,£0.00,£68.09,£5.23,£0.00,£57.02,£11.09,£23.26,£6.00,£0.00,£2.89,£0.00,£7.22
7484,£9.26,£50.12,£26.75,£33.49,£3.48,£0.00,£9.10,£4.55,£4.57,£41.59,£35.76,£0.00,£11.22,£34.20,£3.96,£0.00,£0.00,£0.00,£0.00,£1.52
14613,£9.20,£8.09,£6.38,£2.44,£7.90,£0.00,£1.40,£0.00,£2.62,£2.55,£2.69,£213.83,£0.00,£1.11,£6.50,£11.00,£0.00,£0.00,£0.00,£0.00
1045,£11.78,£7.28,£30.60,£26.85,£11.36,£0.00,£0.35,£25.77,£10.07,£13.68,£17.59,£0.00,£0.00,£0.00,£0.99,£0.00,£0.00,£0.84,£0.00,£0.00
5630,£28.86,£20.02,£26.91,£18.59,£13.75,£0.00,£4.01,£16.49,£4.32,£36.48,£42.25,£82.93,£151.55,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00
2503,£112.41,£49.87,£37.70,£29.29,£34.64,£0.00,£45.15,£59.30,£18.84,£21.02,£107.36,£0.00,£0.00,£28.10,£11.24,£0.00,£0.00,£5.97,£0.00,£2.55
9230,£13.19,£0.00,£10.48,£11.73,£0.00,£0.00,£14.14,£0.00,£1.01,£6.98,£0.00,£0.00,£0.00,£5.77,£1.78,£0.00,£0.00,£0.00,£1.09,£0.00
14409,£21.44,£15.10,£23.13,£2.07,£3.45,£0.00,£0.73,£0.00,£0.00,£0.00,£40.46,£583.42,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00
1922,£41.43,£139.07,£99.13,£55.46,£65.71,£0.00,£76.45,£24.96,£14.51,£5.80,£15.45,£0.00,£280.58,£0.00,£0.00,£48.00,£0.00,£0.00,£0.00,£3.40
11658,£41.60,£67.24,£34.32,£53.97,£11.24,£0.00,£10.38,£51.98,£6.39,£36.19,£34.85,£13.38,£12.39,£13.92,£4.45,£4.00,£0.00,£0.99,£9.06,£0.59
10896,£39.74,£97.62,£27.27,£36.01,£41.90,£0.00,£17.26,£28.18,£13.26,£48.69,£25.96,£273.43,£40.58,£22.15,£24.17,£65.50,£20.00,£1.27,£8.33,£0.00
2451,£70.72,£80.66,£43.11,£49.21,£22.73,£0.00,£2.11,£45.59,£10.73,£28.85,£46.26,£0.00,£47.08,£2.20,£13.64,£1.00,£0.00,£0.00,£0.00,£2.51
515,£8.06,£4.98,£37.64,£6.07,£1.86,£0.00,£1.18,£8.00,£12.25,£14.08,£13.04,£0.00,£18.74,£0.00,£0.99,£0.00,£0.00,£0.00,£0.00,£1.69
6239,£14.23,£32.94,£68.49,£24.06,£34.01,£0.00,£8.70,£8.96,£33.77,£46.71,£46.51,£154.02,£120.41,£0.00,£8.42,£0.00,£10.00,£7.09,£0.00,£0.67
13394,£50.39,£54.98,£87.33,£36.75,£63.66,£0.00,£0.00,£7.79,£14.87,£113.54,£85.27,£3.81,£5.68,£0.00,£0.00,£4.00,£0.00,£0.00,£0.00,£0.00
6618,£62.32,£51.83,£29.32,£21.83,£47.19,£0.00,£3.52,£22.07,£3.51,£34.84,£47.16,£42.88,£53.25,£6.16,£0.00,£9.00,£40.00,£3.40,£0.00,£0.00
15114,£123.20,£163.63,£39.13,£202.78,£56.03,£0.00,£133.95,£8.07,£0.00,£11.32,£23.11,£0.00,£0.00,£4.85,£39.94,£591.00,£0.00,£0.00,£0.00,£0.00
3028,£47.58,£76.22,£66.59,£28.64,£40.30,£0.00,£21.95,£26.76,£27.83,£65.16,£29.94,£0.00,£0.00,£17.55,£14.83,£0.00,£15.00,£2.51,£0.00,£0.00
1281,£72.14,£84.85,£46.30,£92.60,£47.38,£0.00,£33.36,£25.25,£57.19,£70.27,£38.12,£0.00,£22.12,£0.00,£0.00,£0.00,£0.00,£1.69,£20.22,£0.00
1413,£156.96,£132.31,£199.82,£118.89,£74.89,£0.00,£4.60,£67.92,£88.29,£43.49,£81.30,£0.00,£0.00,£0.00,£0.24,£4.00,£0.00,£0.00,£0.00,£3.35
9886,£92.96,£66.96,£54.51,£44.89,£15.33,£0.00,£48.38,£35.53,£8.63,£67.79,£81.63,£50.61,£111.43,£40.99,£11.76,£0.00,£0.00,£9.30,£0.00,£0.00
14027,£114.34,£80.98,£14.01,£11.82,£48.68,£0.00,£0.00,£110.48,£25.98,£11.89,£60.83,£62.30,£45.93,£0.00,£4.27,£0.00,£0.00,£116.68,£0.00,£0.00
1037,£68.27,£133.51,£48.34,£32.46,£25.14,£0.00,£32.78,£7.03,£11.00,£47.75,£11.20,£0.00,£0.00,£0.00,£0.99,£15.00,£50.00,£1.44,£0.00,£6.79
7814,£78.59,£29.12,£20.61,£54.32,£37.73,£0.00,£13.00,£13.07,£2.35,£6.03,£59.39,£0.64,£45.76,£29.26,£1.64,£0.00,£0.00,£1.69,£0.00,£0.00
10189,£181.84,£47.64,£18.66,£25.00,£15.64,£0.00,£7.65,£29.26,£2.84,£24.46,£12.97,£0.00,£23.36,£30.03,£15.12,£0.00,£0.00,£4.96,£0.00,£0.00
4934,£26.00,£34.33,£32.75,£13.54,£25.11,£0.00,£12.56,£19.35,£3.55,£11.72,£12.64,£512.67,£0.00,£4.86,£0.00,£6.00,£0.00,£0.00,£2.22,£3.40
3730,£54.18,£89.33,£48.28,£78.73,£65.14,£0.00,£3.82,£74.84,£14.96,£49.54,£82.34,£11.36,£0.00,£0.53,£5.16,£0.00,£20.00,£6.35,£2.90,£2.37
10761,£199.11,£88.51,£85.35,£95.89,£104.01,£0.00,£95.32,£44.03,£7.53,£139.70,£10.72,£0.00,£92.03,£58.98,£29.12,£1.00,£25.00,£17.01,£0.00,£17.17
510,£37.96,£84.07,£26.32,£42.70,£34.40,£0.00,£8.55,£22.68,£10.88,£18.97,£18.00,£0.00,£43.15,£3.79,£30.55,£0.00,£0.00,£0.00,£0.00,£1.06
15328,£21.59,£10.96,£12.15,£13.04,£5.01,£0.00,£0.40,£10.27,£0.00,£5.73,£32.86,£0.00,£0.00,£0.77,£18.03,£19.00,£10.00,£0.00,£2.38,£0.00
9311,£22.17,£60.27,£32.56,£106.24,£81.50,£0.00,£0.00,£0.00,£81.19,£31.09,£78.47,£7.42,£181.93,£0.00,£0.00,£0.00,£0.00,£0.84,£0.00,£0.00
15018,£23.07,£19.79,£30.88,£17.18,£18.21,£0.00,£11.55,£9.95,£0.00,£21.24,£33.90,£48.54,£8.50,£1.58,£3.18,£0.00,£135.50,£0.00,£0.00,£0.00
13301,£56.26,£107.64,£33.94,£70.83,£79.37,£0.00,£0.00,£37.91,£10.19,£7.75,£48.34,£0.00,£17.68,£13.11,£3.42,£0.00,£0.00,£0.00,£0.00,£0.00
4163,£97.14,£171.96,£64.02,£206.75,£41.16,£0.00,£42.87,£33.85,£15.44,£2.31,£111.00,£31.40,£0.00,£4.22,£0.00,£26.00,£10.00,£0.00,£0.00,£0.00
1030,£18.12,£8.40,£41.15,£11.17,£26.20,£0.00,£5.75,£11.98,£21.27,£22.21,£6.98,£0.00,£0.00,£0.00,£5.23,£2.00,£0.00,£0.00,£0.00,£0.00
12331,£11.03,£10.12,£26.13,£17.67,£164.58,£0.00,£0.00,£3.29,£11.62,£7.33,£9.97,£226.53,£0.00,£25.33,£2.97,£71.50,£25.00,£0.42,£0.00,£1.52
4351,£71.02,£56.94,£72.88,£16.34,£19.95,£0.00,£0.76,£4.54,£112.91,£30.41,£7.07,£69.64,£0.00,£0.00,£0.00,£3.00,£0.00,£0.00,£0.00,£0.00
9112,£116.22,£97.32,£88.89,£58.58,£80.18,£0.00,£7.49,£62.16,£22.56,£70.60,£92.09,£87.97,£106.93,£3.90,£23.35,£93.00,£0.00,£1.15,£4.72,£0.00
6153,£23.41,£102.80,£206.91,£62.61,£151.83,£0.00,£16.39,£8.59,£25.63,£129.60,£35.00,£36.03,£43.35,£0.00,£6.93,£0.00,£95.00,£13.91,£0.00,£3.40
11990,£35.37,£14.83,£8.28,£21.31,£0.00,£0.00,£22.17,£8.30,£4.65,£0.00,£19.38,£0.00,£73.92,£24.82,£1.97,£0.00,£236.00,£0.00,£0.00,£0.00
4290,£112.07,£72.07,£185.07,£56.60,£119.56,£0.00,£61.96,£102.70,£5.68,£34.59,£32.91,£23.93,£0.00,£39.88,£45.67,£0.00,£0.00,£9.03,£9.90,£0.00
